name,RA,Dec,status,nY,n_clusters,Gamma_star_emp,TPR_total,n_overlap_total,best_s_over_rootB,wall_time_s
Antlia II,143.8868,-36.7673,ok,118265.0,7,69.34507388956932,0.6419379258137774,848,85.63568102103793,7924.3332986831665
Aquarius II,338.4813,-9.3274,ok,6735.0,0,68.82332654011228,0.0,0,,66.35362982749939
Bootes I,210.02,14.5135,ok,5639.0,1,63.58342206231948,0.9019607843137255,184,65.85759962679523,62.10181522369385
Bootes II,209.5141,12.8553,ok,5893.0,1,62.23468467989305,0.0,0,35.96809021415739,63.92099332809448
Bootes III,209.3,26.8,"error: setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (351,) + inhomogeneous part.",,0,,,0,,
Canes Venatici I,202.0091,33.5521,ok,4044.0,1,60.708483925718866,0.9276315789473685,141,50.724335501646785,52.13682579994202
Canes Venatici II,194.2927,34.3226,ok,3665.0,1,70.06063135893828,0.0,0,17.750039683946163,44.3702757358551
Carina,100.4065,-50.9593,ok,28846.0,1,62.0056247726503,0.9635284139100933,2272,139.45953141090308,587.2657070159912
Carina II,114.1066,-57.9991,ok,36947.0,1,74.36191716443297,0.8529411764705882,58,12.401637411642266,413.270720243454
Carina III,114.6298,-57.8997,ok,38918.0,1,77.7006270985293,0.6153846153846154,8,11.16192825728269,450.74542689323425
Coma Berenices,186.7454,23.9069,ok,4112.0,1,61.40551419474945,0.7555555555555555,34,37.077892098649244,47.80821442604065
Crater II,177.31,-18.413,ok,12654.0,1,65.02352126406207,0.7406716417910447,397,68.03260644849465,142.8764684200287
Draco,260.0684,57.9185,ok,10393.0,1,57.29797430097659,0.9669947886508397,1670,246.20993135769908,167.05248856544495
Eridanus II,56.0925,-43.5329,ok,5037.0,0,55.56300604732605,0.0,0,,49.69641947746277
Fornax,39.9583,-34.4997,"error: setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (327,) + inhomogeneous part.",,0,,,0,,
Hercules,247.7722,12.7852,ok,24276.0,1,65.68604079193891,0.8478260869565217,39,22.553236275845936,182.20456171035767
Horologium I,43.8813,-54.116,"error: setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (1715,) + inhomogeneous part.",,0,,,0,,
Hydrus I,37.389,-79.3089,ok,3517.0,1,61.70910161001107,0.768,96,42.45524755953532,74.69104075431824
LMC,80.8938,-69.7561,empty_cells,435487.0,0,,,0,,
Leo I,152.1146,12.3059,ok,7032.0,1,68.06404489491376,0.9873323397913562,1325,179.16894147086413,122.82454133033752
Leo II,168.3627,22.1529,ok,4638.0,1,53.75983842972556,0.9378698224852071,317,61.405042465496386,68.39860153198242
Leo IV,173.2405,-0.5453,ok,6796.0,0,66.69407575487682,0.0,0,,57.1909282207489
Leo V,172.7857,2.2194,ok,6150.0,0,57.47074931958914,0.0,0,,60.83752679824829
Pegasus III,336.102,5.405,ok,9935.0,0,55.51939468360298,,0,,90.81166648864746
Phoenix II,354.996,-54.4115,ok,3986.0,0,62.73887670034443,0.0,0,,44.51003909111023
Pisces II,344.6345,5.9526,ok,7681.0,2,66.85829875804457,,0,,74.64157295227051
Reticulum II,53.9203,-54.0513,ok,4769.0,2,55.44793744021098,0.8666666666666667,65,45.65165215274656,54.76425004005432
Sagittarius,283.8313,-30.5453,empty_cells,106689.0,0,,,0,,
Sagittarius II,298.1647,-22.0651,ok,99384.0,1,73.72141123062684,0.5633802816901409,40,18.892503269034584,886.9049699306488
Sculptor,15.0183,-33.7186,"error: setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (334,) + inhomogeneous part.",,0,,,0,,
Segue 1,151.7504,16.0756,ok,6143.0,1,57.644788658454026,0.68,17,35.63399849781206,99.60085272789001
Sextans,153.2628,-1.6133,ok,9817.0,1,54.687101845265204,0.9634308510638298,1449,179.0686411761399,292.16043615341187
SMC,13.1867,-72.8286,ok,1053404.0,4,37.919607356508074,,0,4869.884829467454,230167.80397367477
Tucana II,342.9796,-58.5689,ok,5220.0,1,56.98972988506743,0.8974358974358975,35,33.418432798974024,44.03903913497925
Tucana IV,0.73,-60.85,ok,4423.0,1,57.598339935148964,0.0,0,24.39264596410248,36.94050645828247
Ursa Major I,158.7706,51.9479,ok,3004.0,1,53.09422651787757,0.6851851851851852,37,41.33712830778776,34.71912384033203
Ursa Major II,132.8726,63.1335,ok,4833.0,1,59.252570168283995,0.5846153846153846,38,12.974274944169856,48.406636476516724
Ursa Minor,227.242,67.2221,ok,5115.0,1,52.93315638646329,0.9291115311909263,1966,407.1930706844889,162.71787858009338
Willman 1,162.3436,51.0501,ok,2909.0,1,49.318389098779136,0.0,0,,30.157410860061646
